,STABBR,TUITFTE
0,AK,4802.25
1,AL,5397.6760563380285
2,AR,3645.1481481481483
3,AS,1322.0
4,AZ,8612.02752293578
5,CA,9879.270735524256
6,CO,12789.981132075472
7,CT,10690.819277108434
8,DC,13045.6
9,DE,7455.5
10,FL,10084.063694267516
11,FM,260.0
12,GA,8718.625
13,GU,3764.0
14,HI,12332.92857142857
15,IA,7184.747252747253
16,ID,5524.923076923077
17,IL,8692.725190839694
18,IN,14138.902985074626
19,KS,8390.255813953489
20,KY,6188.838095238095
21,LA,5814.758620689655
22,MA,14905.884615384615
23,MD,7490.229885057472
24,ME,9394.794871794871
25,MH,285.0
26,MI,13020.85628742515
27,MN,8782.496240601504
28,MO,13264.703703703704
29,MP,2108.0
30,MS,5703.508196721312
31,MT,4231.103448275862
32,NC,5619.547770700637
33,ND,26190.75
34,NE,6372.843137254902
35,NH,10209.186046511628
36,NJ,8502.061224489797
37,NM,4792.583333333333
38,NV,7769.5
39,NY,13519.81081081081
40,OH,9098.312883435583
41,OK,4680.914285714286
42,OR,8386.142857142857
43,PA,13520.959128065395
44,PR,3921.1013513513512
45,PW,2146.0
46,RI,46074.13636363636
47,SC,6211.5
48,SD,5405.766666666666
49,TN,6448.731707317073
50,TX,6702.989637305699
51,UT,27996.65
52,VA,9336.952380952382
53,VI,6476.0
54,VT,16805.428571428572
55,WA,7141.551724137931
56,WI,11754.37113402062
57,WV,14705.27027027027
58,WY,9799.0
