,STABBR,TUITFTE
0,AK,8321.666666666666
1,AL,7714.931034482759
2,AR,6124.9125
3,AS,1270.0
4,AZ,11336.611570247935
5,CA,11639.722727272727
6,CO,11512.754545454545
7,CT,12530.35064935065
8,DC,16403.565217391304
9,DE,11438.941176470587
10,FL,12462.0
11,FM,422.0
12,GA,9961.335403726707
13,GU,3065.0
14,HI,19985.76
15,IA,9654.574712643678
16,ID,8649.805555555555
17,IL,11403.41825095057
18,IN,11857.991304347826
19,KS,8520.303797468354
20,KY,9163.291666666666
21,LA,9054.48
22,MA,15301.290697674418
23,MD,10097.670588235294
24,ME,12374.648648648648
25,MH,810.0
26,MI,10444.623529411765
27,MN,10171.74074074074
28,MO,10188.535294117648
29,MP,2685.0
30,MS,6339.482142857143
31,MT,5532.966666666666
32,NC,8201.954545454546
33,ND,8253.137931034482
34,NE,8975.3125
35,NH,11930.6
36,NJ,11925.2
37,NM,7257.791666666667
38,NV,13418.775
39,NY,13190.34693877551
40,OH,10734.911764705883
41,OK,6204.6614173228345
42,OR,11179.149425287356
43,PA,13031.829131652661
44,PR,5506.842857142857
45,PW,5509.0
46,RI,17209.304347826088
47,SC,9990.875
48,SD,7850.466666666666
49,TN,9558.60119047619
50,TX,9042.42542787286
51,UT,9094.859154929578
52,VA,11928.96794871795
53,VI,7128.0
54,VT,24609.48
55,WA,10643.75892857143
56,WI,11012.04854368932
57,WV,7044.135135135135
58,WY,4374.0
