,STABBR,TUITFTE
0,AK,5660.4
1,AL,6064.0952380952385
2,AR,4340.0
3,AS,1918.0
4,AZ,8906.07874015748
5,CA,9667.474285714286
6,CO,10161.158333333333
7,CT,9257.257425742575
8,DC,13553.541666666666
9,DE,7829.0526315789475
10,FL,8121.729946524064
11,FM,301.0
12,GA,7520.789772727273
13,GU,4797.0
14,HI,5987.576923076923
15,IA,8292.945652173914
16,ID,6543.4838709677415
17,IL,9340.166666666666
18,IN,8758.277027027027
19,KS,7604.61797752809
20,KY,7135.7663551401865
21,LA,5839.425
22,MA,12262.765306122448
23,MD,8950.073684210527
24,ME,9990.526315789473
25,MH,841.0
26,MI,8689.647668393782
27,MN,9876.143884892086
28,MO,7904.053140096618
29,MP,1874.0
30,MS,4986.796610169492
31,MT,5056.1
32,NC,6418.0842696629215
33,ND,4963.241379310345
34,NE,6990.294117647059
35,NH,9991.720930232557
36,NJ,9144.063694267516
37,NM,4991.666666666667
38,NV,9352.348837209302
39,NY,10373.072368421053
40,OH,8441.101983002833
41,OK,5036.979166666667
42,OR,10035.223529411765
43,PA,10686.451086956522
44,PR,4490.637583892618
45,PW,2915.0
46,RI,12959.695652173914
47,SC,7760.030303030303
48,SD,6132.387096774193
49,TN,7567.5028571428575
50,TX,7860.531615925059
51,UT,10340.191780821919
52,VA,9383.049689440993
53,VI,5883.0
54,VT,19651.178571428572
55,WA,8291.280991735537
56,WI,10078.563636363637
57,WV,5557.670886075949
58,WY,7523.75
