,STABBR,TUITFTE
0,AK,5490.777777777777
1,AL,4812.066666666667
2,AR,3474.475
3,AS,1091.0
4,AZ,7822.660714285715
5,CA,8250.080188679245
6,CO,7664.843137254902
7,CT,8227.6125
8,DC,11314.952380952382
9,DE,7891.8125
10,FL,7023.843537414966
11,FM,469.0
12,GA,6337.2558139534885
13,GU,4584.666666666667
14,HI,7046.0
15,IA,7405.8
16,ID,8014.851851851852
17,IL,12316.45247148289
18,IN,6773.314516129032
19,KS,5363.303370786517
20,KY,6603.990740740741
21,LA,6074.767123287671
22,MA,14112.075675675676
23,MD,6811.724137931034
24,ME,7830.4358974358975
25,MH,204.0
26,MI,7764.795321637427
27,MN,8774.354330708662
28,MO,11318.560209424084
29,MP,2257.0
30,MS,5967.9
31,MT,3929.548387096774
32,NC,7720.044871794872
33,ND,5473.851851851852
34,NE,5839.24
35,NH,9667.80487804878
36,NJ,8253.668874172185
37,NM,4317.729166666667
38,NV,29254.125
39,NY,12332.077803203661
40,OH,8102.645061728395
41,OK,13713.165413533834
42,OR,8209.241379310344
43,PA,12533.296675191816
44,PR,3826.87012987013
45,PW,2617.0
46,RI,10457.095238095239
47,SC,5700.552941176471
48,SD,4798.733333333334
49,TN,5711.322580645161
50,TX,22948.424870466322
51,UT,32586.905660377357
52,VA,7588.351724137931
53,VI,5808.0
54,VT,14719.827586206897
55,WA,7338.798319327731
56,WI,8745.155555555555
57,WV,7235.88
58,WY,7026.25
