,STABBR,TUITFTE
0,AK,5457.222222222223
1,AL,5437.463414634146
2,AR,4067.682926829268
3,AS,1941.0
4,AZ,9059.49152542373
5,CA,9046.711509715995
6,CO,10600.275862068966
7,CT,9924.965517241379
8,DC,13115.173913043478
9,DE,7413.294117647059
10,FL,8555.792613636364
11,FM,486.0
12,GA,7016.976608187135
13,GU,7018.0
14,HI,6054.333333333333
15,IA,7248.43956043956
16,ID,5779.896551724138
17,IL,9304.91726618705
18,IN,8400.420289855072
19,KS,6473.770114942528
20,KY,6604.653846153846
21,LA,4729.27027027027
22,MA,12880.741935483871
23,MD,8406.516129032258
24,ME,9239.307692307691
25,MH,675.0
26,MI,8084.918918918919
27,MN,9311.22794117647
28,MO,7870.88
29,MP,3061.0
30,MS,4781.118644067797
31,MT,4828.714285714285
32,NC,6446.988165680474
33,ND,5666.866666666667
34,NE,6557.826923076923
35,NH,9991.142857142857
36,NJ,9289.582781456953
37,NM,5118.382978723404
38,NV,7696.891891891892
39,NY,10202.86129753915
40,OH,8269.933139534884
41,OK,6181.30985915493
42,OR,9211.4578313253
43,PA,10144.523545706372
44,PR,4172.689189189189
45,PW,1481.0
46,RI,12987.869565217392
47,SC,6785.912087912088
48,SD,5532.5161290322585
49,TN,7234.682926829269
50,TX,7063.763819095478
51,UT,9842.588235294117
52,VA,8919.223684210527
53,VI,6158.0
54,VT,21581.10714285714
55,WA,7622.652542372882
56,WI,9351.981132075472
57,WV,5553.460526315789
58,WY,3443.1666666666665
