,STABBR,TUITFTE
0,AK,5666.75
1,AL,5563.2467532467535
2,AR,4049.9756097560976
3,AS,2223.0
4,AZ,9145.181818181818
5,CA,8931.26113671275
6,CO,10467.62037037037
7,CT,9974.670588235294
8,DC,12815.59090909091
9,DE,7224.941176470588
10,FL,8845.55487804878
11,FM,318.0
12,GA,6873.150837988826
13,GU,4833.666666666667
14,HI,5592.375
15,IA,8054.279569892473
16,ID,5779.153846153846
17,IL,8538.188679245282
18,IN,7767.224637681159
19,KS,6340.022727272727
20,KY,6259.0
21,LA,6152.184931506849
22,MA,12569.977900552487
23,MD,7547.943820224719
24,ME,9096.25641025641
25,MH,451.0
26,MI,7693.827586206897
27,MN,9053.65671641791
28,MO,8344.380952380952
29,MP,1205.0
30,MS,5134.816666666667
31,MT,4521.928571428572
32,NC,6378.640243902439
33,ND,4987.241379310345
34,NE,6651.411764705882
35,NH,10647.545454545454
36,NJ,8723.51677852349
37,NM,4696.851063829788
38,NV,10553.542857142857
39,NY,11145.404017857143
40,OH,8363.630303030302
41,OK,4993.571428571428
42,OR,9248.714285714286
43,PA,10418.659279778394
44,PR,3794.6510067114095
45,PW,1455.0
46,RI,12447.545454545454
47,SC,6718.7191011235955
48,SD,5588.666666666667
49,TN,6377.309523809524
50,TX,6861.186528497409
51,UT,9131.25
52,VA,8237.919463087248
53,VI,5981.0
54,VT,18885.464285714286
55,WA,7472.406779661017
56,WI,8382.392156862745
57,WV,5117.68
58,WY,5206.833333333333
