,STABBR,TUITFTE
0,AK,6809.8
1,AL,7927.175824175824
2,AR,5858.546511627907
3,AS,3381.0
4,AZ,11539.205673758865
5,CA,10754.769547325102
6,CO,11694.592592592593
7,CT,11093.263157894737
8,DC,16006.0
9,DE,10324.0
10,FL,9914.201017811705
11,FM,826.0
12,GA,9598.857923497268
13,GU,4732.666666666667
14,HI,14955.925925925925
15,IA,9700.989130434782
16,ID,7138.976190476191
17,IL,10554.514657980457
18,IN,10456.865671641792
19,KS,7957.936842105263
20,KY,8553.36607142857
21,LA,7979.754098360656
22,MA,14557.53125
23,MD,9972.785714285714
24,ME,11316.538461538461
25,MH,499.0
26,MI,9746.095477386934
27,MN,11333.862068965518
28,MO,9155.52380952381
29,MP,2570.0
30,MS,6642.403225806452
31,MT,5096.466666666666
32,NC,7737.102040816327
33,ND,6446.466666666666
34,NE,8616.058823529413
35,NH,11500.761904761905
36,NJ,10470.69696969697
37,NM,6238.25
38,NV,10296.916666666666
39,NY,11853.084415584415
40,OH,9899.182584269663
41,OK,5904.664335664335
42,OR,10940.520833333334
43,PA,12182.368956743003
44,PR,3992.4736842105262
45,PW,653.0
46,RI,14672.083333333334
47,SC,9922.378378378378
48,SD,7279.870967741936
49,TN,9129.216216216217
50,TX,8928.719298245614
51,UT,8913.098765432098
52,VA,11650.455621301775
53,VI,7560.0
54,VT,21577.115384615383
55,WA,10454.918032786885
56,WI,10729.347457627118
57,WV,6503.311688311688
58,WY,4736.636363636364
