,STABBR,TUITFTE
0,AK,5164.444444444444
1,AL,4498.662337662337
2,AR,2748.1153846153848
3,AS,1274.0
4,AZ,6499.605504587156
5,CA,21119.557536466775
6,CO,7444.242718446602
7,CT,9779.202702702703
8,DC,10140.42857142857
9,DE,7834.733333333334
10,FL,43151.70070422535
11,FM,1904.25
12,GA,11579.157894736842
13,GU,3896.6666666666665
14,HI,4812.038461538462
15,IA,6563.494382022472
16,ID,8447.923076923076
17,IL,10241.027131782947
18,IN,7323.992125984252
19,KS,5182.932584269663
20,KY,5402.018691588785
21,LA,3303.944055944056
22,MA,11010.701657458563
23,MD,7121.951219512195
24,ME,9697.925
25,MH,0.0
26,MI,10616.929411764706
27,MN,7715.818181818182
28,MO,7133.88829787234
29,MP,1102.0
30,MS,5036.403508771929
31,MT,3834.2580645161293
32,NC,4220.03821656051
33,ND,3830.769230769231
34,NE,17981.673469387755
35,NH,13369.225
36,NJ,8821.523489932886
37,NM,4575.36
38,NV,5781.535714285715
39,NY,14342.911161731206
40,OH,16851.364485981307
41,OK,3574.375939849624
42,OR,6948.102272727273
43,PA,10132.040100250626
44,PR,13911.857142857143
45,PW,1795.0
46,RI,18472.81818181818
47,SC,5072.172839506173
48,SD,15037.645161290322
49,TN,6278.980132450331
50,TX,8252.24074074074
51,UT,5283.7959183673465
52,VA,7238.379310344828
53,VI,10699.0
54,VT,15379.172413793103
55,WA,5963.967479674797
56,WI,6492.147727272727
57,WV,5236.08
58,WY,4887.363636363636
