,Year,DEBT_MDN
0,2005,
1,2005,6625.0
2,2005,5250.0
3,2005,6031.5
4,2005,5500.0
5,2005,5938.0
6,2005,9875.0
7,2005,3313.0
8,2005,9596.0
9,2005,5077.0
10,2005,10440.0
11,2005,
12,2005,11375.5
13,2005,
14,2005,2625.0
15,2005,
16,2005,3500.0
17,2005,2625.0
18,2005,2625.0
19,2005,8200.0
20,2005,2625.0
21,2005,
22,2005,
23,2005,2667.0
24,2005,
25,2005,6576.5
26,2005,6125.0
27,2005,10500.0
28,2005,
29,2005,
30,2005,5250.0
31,2005,
32,2005,2625.0
33,2005,2625.0
34,2005,6125.0
35,2005,
36,2005,3788.0
37,2005,
38,2005,2625.0
39,2005,3805.0
40,2005,8562.0
41,2005,6649.5
42,2005,3094.5
43,2005,5500.0
44,2005,2625.0
45,2005,10500.0
46,2005,
47,2005,11042.0
48,2005,
49,2005,
50,2005,10750.0
51,2005,
52,2005,
53,2005,6625.0
54,2005,
55,2005,13625.0
56,2005,6625.0
57,2005,11750.0
58,2005,6291.0
59,2005,
60,2005,7412.0
61,2005,6625.0
62,2005,4417.0
63,2005,9006.5
64,2005,
65,2005,
66,2005,4375.0
67,2005,4825.0
68,2005,5322.0
69,2005,9500.0
70,2005,4637.0
71,2005,5292.0
72,2005,4375.0
73,2005,5562.5
74,2005,5097.0
75,2005,5153.0
76,2005,7958.0
77,2005,4591.0
78,2005,4416.0
79,2005,6000.0
80,2005,
81,2005,4351.0
82,2005,6625.0
83,2005,6625.0
84,2005,6625.0
85,2005,6725.0
86,2005,5427.0
87,2005,6625.0
88,2005,5900.0
89,2005,8250.0
90,2005,3313.0
91,2005,9445.0
92,2005,7792.0
93,2005,5347.0
94,2005,2625.0
95,2005,3170.0
96,2005,4518.5
97,2005,3687.0
98,2005,4625.0
99,2005,4625.0
100,2005,6625.0
101,2005,2751.0
102,2005,6625.0
103,2005,4946.0
104,2005,
105,2005,5250.0
106,2005,2625.0
107,2005,6625.0
108,2005,6625.0
109,2005,2665.0
110,2005,5800.0
111,2005,6625.0
112,2005,2625.0
113,2005,4720.0
114,2005,3500.0
115,2005,6146.0
116,2005,6625.0
117,2005,3312.0
118,2005,8575.0
119,2005,6625.0
120,2005,
121,2005,6460.0
122,2005,
123,2005,9624.0
124,2005,6013.0
125,2005,3500.0
126,2005,4479.0
127,2005,4624.0
128,2005,5250.0
129,2005,4625.0
130,2005,4625.0
