,STABBR,TUITFTE
0,AK,7524.555555555556
1,AL,7860.633333333333
2,AR,5984.679012345679
3,AS,3431.0
4,AZ,10785.714285714286
5,CA,11502.12932330827
6,CO,11751.859649122807
7,CT,11414.142857142857
8,DC,16225.434782608696
9,DE,10507.235294117647
10,FL,10294.764227642276
11,FM,408.0
12,GA,9447.139393939395
13,GU,3066.6666666666665
14,HI,23320.24
15,IA,9580.397727272728
16,ID,8126.216216216216
17,IL,12182.814814814816
18,IN,10927.737288135593
19,KS,8480.231707317073
20,KY,8117.298969072165
21,LA,9309.30894308943
22,MA,14961.775280898877
23,MD,10038.443181818182
24,ME,12270.394736842105
25,MH,564.0
26,MI,9780.869822485207
27,MN,10648.068965517241
28,MO,9589.994444444445
29,MP,1728.0
30,MS,6698.070175438596
31,MT,4959.8
32,NC,8189.544943820225
33,ND,8166.275862068966
34,NE,8769.3125
35,NH,11778.51282051282
36,NJ,11609.64
37,NM,6565.510204081633
38,NV,12281.285714285714
39,NY,12828.59465478842
40,OH,10540.273015873016
41,OK,5680.909090909091
42,OR,11218.887640449439
43,PA,12708.8
44,PR,5094.951724137931
45,PW,6050.0
46,RI,16811.583333333332
47,SC,9809.452830188678
48,SD,7582.620689655172
49,TN,9236.807017543859
50,TX,8708.249400479617
51,UT,9122.712328767124
52,VA,11582.363057324841
53,VI,8371.0
54,VT,22842.8
55,WA,9890.160714285714
56,WI,10490.752475247526
57,WV,6887.213333333333
58,WY,5625.454545454545
