,STABBR,TUITFTE
0,AK,7111.8
1,AL,7157.8
2,AR,5590.2588235294115
3,AS,2963.0
4,AZ,10893.633093525179
5,CA,10317.78021978022
6,CO,10037.375
7,CT,10216.375
8,DC,14595.791666666666
9,DE,9512.6
10,FL,9400.048717948717
11,FM,286.0
12,GA,8664.04347826087
13,GU,4797.333333333333
14,HI,15329.666666666666
15,IA,9291.0
16,ID,7222.511627906977
17,IL,10320.354098360656
18,IN,10483.85606060606
19,KS,18957.191489361703
20,KY,8473.044247787611
21,LA,7408.991935483871
22,MA,13618.798969072164
23,MD,9334.020833333334
24,ME,11036.461538461539
25,MH,1159.0
26,MI,9083.203045685279
27,MN,10795.213793103449
28,MO,9795.406698564593
29,MP,2688.0
30,MS,6100.435483870968
31,MT,5192.625
32,NC,8753.056994818653
33,ND,5748.0344827586205
34,NE,8117.156862745098
35,NH,10959.214285714286
36,NJ,9772.49696969697
37,NM,5657.865384615385
38,NV,11440.18
39,NY,11369.946236559139
40,OH,9381.188524590163
41,OK,5780.944055944056
42,OR,10978.45744680851
43,PA,11896.333333333334
44,PR,4103.38064516129
45,PW,5179.0
46,RI,13700.083333333334
47,SC,8873.513513513513
48,SD,7038.645161290323
49,TN,9157.266304347826
50,TX,8505.997792494481
51,UT,8530.246913580248
52,VA,10632.701149425287
53,VI,7311.0
54,VT,20721.48148148148
55,WA,9163.177419354839
56,WI,10502.991803278688
57,WV,6049.133333333333
58,WY,4976.333333333333
