,STABBR,TUITFTE
0,AK,7936.777777777777
1,AL,8337.78021978022
2,AR,6110.488372093023
3,AS,3505.0
4,AZ,11165.992592592593
5,CA,11228.704347826088
6,CO,11074.056451612903
7,CT,10745.055555555555
8,DC,108017.68
9,DE,11277.176470588236
10,FL,10697.31313131313
11,FM,677.0
12,GA,9241.96511627907
13,GU,3100.3333333333335
14,HI,21611.6
15,IA,9385.344444444445
16,ID,7875.0
17,IL,11366.205574912892
18,IN,10826.886363636364
19,KS,9160.285714285714
20,KY,8308.914285714285
21,LA,8671.11811023622
22,MA,15089.754010695187
23,MD,10095.010989010989
24,ME,14756.236842105263
25,MH,563.0
26,MI,10346.543010752688
27,MN,11455.079136690647
28,MO,9424.822916666666
29,MP,1678.0
30,MS,6463.9
31,MT,5059.9
32,NC,7967.020942408377
33,ND,6883.172413793103
34,NE,8997.039215686274
35,NH,12183.609756097561
36,NJ,11633.51282051282
37,NM,6293.84
38,NV,11846.651162790698
39,NY,12731.767741935484
40,OH,10665.850574712644
41,OK,6227.979166666667
42,OR,11203.702127659575
43,PA,12773.451443569555
44,PR,4647.0
45,PW,5757.0
46,RI,16186.958333333334
47,SC,9754.616822429907
48,SD,8832.78125
49,TN,9401.39010989011
50,TX,8745.123348017622
51,UT,9201.818181818182
52,VA,11604.461538461539
53,VI,7884.0
54,VT,22375.6
55,WA,9828.585365853658
56,WI,11263.875
57,WV,6898.2266666666665
58,WY,5089.454545454545
