,STABBR,TUITFTE
0,AK,6714.6
1,AL,6722.318181818182
2,AR,4984.0
3,AS,2318.0
4,AZ,9893.372262773722
5,CA,9881.114482758621
6,CO,10235.887218045113
7,CT,10191.98
8,DC,15588.041666666666
9,DE,9008.368421052632
10,FL,9481.076335877862
11,FM,488.0
12,GA,8008.3135135135135
13,GU,4935.666666666667
14,HI,20658.821428571428
15,IA,8508.670212765957
16,ID,6570.054054054054
17,IL,10233.75
18,IN,9269.662337662337
19,KS,7654.133333333333
20,KY,7168.339285714285
21,LA,6612.459016393443
22,MA,13027.11855670103
23,MD,9332.78125
24,ME,13327.0
25,MH,467.0
26,MI,8628.045918367347
27,MN,10950.90909090909
28,MO,8754.595348837209
29,MP,2252.0
30,MS,5949.967741935484
31,MT,4770.1
32,NC,7009.936170212766
33,ND,5186.724137931034
34,NE,7773.32
35,NH,10451.84090909091
36,NJ,9695.169811320755
37,NM,5278.038461538462
38,NV,9296.673913043478
39,NY,10792.933189655172
40,OH,9274.829201101928
41,OK,5429.630136986301
42,OR,10104.866666666667
43,PA,11143.654986522912
44,PR,4139.070967741935
45,PW,4494.0
46,RI,13078.739130434782
47,SC,8376.284403669724
48,SD,6666.096774193548
49,TN,8401.318681318682
50,TX,8510.20945945946
51,UT,9207.898734177215
52,VA,9819.0
53,VI,6330.0
54,VT,20155.214285714286
55,WA,11388.870967741936
56,WI,18820.516393442624
57,WV,5751.25641025641
58,WY,5228.272727272727
