,STABBR,TUITFTE
0,AK,8087.444444444444
1,AL,8492.5
2,AR,5891.373493975903
3,AS,3208.0
4,AZ,11279.644444444444
5,CA,11016.355836849507
6,CO,10921.263565891473
7,CT,10768.741935483871
8,DC,67184.16666666667
9,DE,10452.842105263158
10,FL,10534.291770573565
11,FM,441.0
12,GA,9251.254237288136
13,GU,2624.0
14,HI,17158.80769230769
15,IA,9542.195652173914
16,ID,7260.309523809524
17,IL,10944.53488372093
18,IN,10779.060150375939
19,KS,9158.91489361702
20,KY,8459.715596330276
21,LA,8468.048387096775
22,MA,14892.703125
23,MD,10146.39175257732
24,ME,11065.410256410256
25,MH,541.0
26,MI,9694.605128205128
27,MN,11205.283687943262
28,MO,9262.72
29,MP,1991.0
30,MS,6508.622950819672
31,MT,5116.290322580645
32,NC,8195.661538461538
33,ND,7250.413793103448
34,NE,8804.12
35,NH,11845.52380952381
36,NJ,11064.881987577639
37,NM,6031.431372549019
38,NV,10976.844444444445
39,NY,12286.599137931034
40,OH,10267.532577903683
41,OK,5980.595890410959
42,OR,11279.333333333334
43,PA,12434.70207253886
44,PR,4268.657718120805
45,PW,5325.0
46,RI,14843.0
47,SC,9929.449541284404
48,SD,7957.96875
49,TN,9117.109289617487
50,TX,9059.244444444445
51,UT,9274.234567901234
52,VA,11638.546511627907
53,VI,7966.0
54,VT,23863.576923076922
55,WA,11442.717741935483
56,WI,11367.46017699115
57,WV,7384.260273972603
58,WY,4981.454545454545
